temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
36C,0.655125585003145,2.04563483766936,1,-1.9999,NaN,NaN,21.0062767776331
38C,1.85234498223176,7.07131706021325,1,-1.9999,NaN,NaN,6.79414724673503
40C,NA,NA,NA,NA,NA,NA,NA
32C,4.40243260921125,1.3189772136804,1,2,0.413119076469389,1.29185185773759,103.25583909565
34C,0.50111429844638,0.749231361132643,1.0001,2.00009603906309,-1.30818581272816,0.578304687194411,95.1627743410529
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.54190438360824,0,1,2,-Inf,Inf,35.3633247528673
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.58286779302339,0.50531749447389,-0.9999,2.5001,NaN,NaN,481.534053412904
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,4.74390981119362,0,-1,2.5,NaN,NaN,55.4737666952931
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.500340970166381,0.513876062338474,1.0001,-2.4999,NaN,NaN,376.348106486542
34C,3.88028394882266,1.78228345250613,1,-2.5,NaN,NaN,63.8964622081553
36C,0.639141068891134,2.21008482185779,1,-2.4999,NaN,NaN,21.5653576733256
38C,1.83251109439074,8.17098336605195,1,-2.4999,NaN,NaN,7.72447368743837
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,3.07294825173569,0,1,2.5,-Inf,Inf,58.1423321364254
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.51963417545151,0.503650885157525,-0.9999,3.0001,NaN,NaN,481.923795879324
34C,15.7876896659445,0.646322427713814,-0.9999,3,NaN,NaN,41.1478230081422
36C,7.3957388508626,0.369841221448115,-0.9999,3,NaN,NaN,9.23069536939263
38C,5.71742789404823,0,-1,3,NaN,NaN,76.1786544276127
40C,0.538932990367595,0.500088789622621,-0.9999,3.00007668510088,NaN,NaN,541.754428291366
32C,NA,NA,NA,NA,NA,NA,NA
34C,3.85852889866834,1.87221858113191,1,-3,NaN,NaN,62.9090570156186
36C,0.623948532316061,2.37452094323926,1,-2.9999,NaN,NaN,22.1395567293125
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.658888531381961,0.877760735465599,1.0001,3.00009735227929,-1.27769379372667,0.500232539969476,122.21824363968
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,3.50450259925569,0,1,3,-Inf,Inf,78.4914601958301
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.50148740228066,0.502757832504956,-0.9999,3.5001,NaN,NaN,482.13171292141
34C,15.7614081649822,0.572324517605707,-0.9999,3.5,NaN,NaN,43.42385994967
36C,NA,NA,NA,NA,NA,NA,NA
38C,6.69541294560332,0,-1,3.5,NaN,NaN,93.7498631661588
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,3.8379337121414,1.96225875981684,1,-3.5,NaN,NaN,61.9745624965134
36C,0.609501188581573,2.53891040796161,1,-3.4999,NaN,NaN,22.7068882751591
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,3.84744562008487,0,1.0001,3.5,-Inf,Inf,95.4135065093689
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.49195880640275,0.502269420028166,-0.9999,4.0001,NaN,NaN,482.24524839556
34C,15.7359584528913,0.498426808837552,-1,4,NaN,NaN,45.8563482266973
36C,7.43676633572203,0.0975108981448492,-0.9999,4,NaN,NaN,11.326928244465
38C,7.64164646831045,0,-1,4,NaN,NaN,108.452023075862
40C,1.54768293245847,0,-0.9999,4,NaN,NaN,258.416306690528
32C,NA,NA,NA,NA,NA,NA,NA
34C,3.81689783390719,2.05241896542652,1,-4,NaN,NaN,61.0885003567388
36C,0.595595713916586,2.7029488485691,1,-3.9999,NaN,NaN,23.2542354583576
38C,1.77916233453264,11.5692318148279,1,-3.9999,NaN,NaN,10.2843521473242
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,3.68097673076239,0.613027823974043,1,4,-0.331399428863617,1.22521257924933,83.3751225853171
36C,NA,NA,NA,NA,NA,NA,NA
38C,4.18589347285592,0,1.0001,4,-Inf,Inf,109.307552528229
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.47236707371455,0.501862172126411,-0.9999,4.5001,NaN,NaN,482.339701276372
34C,15.7097291149039,0.424668357340197,-1,4.5,NaN,NaN,48.4458902576136
36C,7.66681822997515,0,-0.9999,4.5,NaN,NaN,12.9722497788856
38C,8.48998410502519,0,-1,4.5,NaN,NaN,120.735118112341
40C,1.48199532982242,0,-0.9999,4.5,NaN,NaN,265.865003609787
32C,0.540680409056411,1.84339161895891,1.0001,-4.49995253714716,NaN,NaN,125.380976361469
34C,3.79704468967657,2.14279954732921,1,-4.5,NaN,NaN,60.2468403125207
36C,0.581979212573175,2.86642327501884,1,-4.4999,NaN,NaN,23.7744779625707
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,0.514844352201888,0.558616699565975,1.000098861352,4.50009993189164,-2.95582992694819,0.452575882088106,61.9867788214606
38C,4.54928554321898,0,1.0001,4.5,-Inf,Inf,120.810253494887
40C,1.49516426053316,0,1.0001,4.5,-Inf,Inf,263.505792797173
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.47086944644198,0.501683440005457,-0.9999,5.0001,NaN,NaN,482.381120046132
34C,15.6832200485251,0.35099586765435,-1,5,NaN,NaN,51.1904034175731
36C,8.49067863947409,0,-0.9999,5,NaN,NaN,17.1885062257065
38C,2.34978164535987,0,-0.9999,5,NaN,NaN,176.373354142066
40C,1.45062397621654,0,-0.9999,5,NaN,NaN,271.499484425306
32C,NA,NA,NA,NA,NA,NA,NA
34C,3.7773696750738,2.23319480939114,1,-5,NaN,NaN,59.4459756209189
36C,0.568876159317355,3.02941777150062,1,-4.9999,NaN,NaN,24.2643656022862
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.627675652959868,0.568616857634344,1.0001,5.00008209426152,-2.74311158612375,0.469884286823669,123.168859909595
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,4.93500209906977,0,1.0001,5,-Inf,Inf,130.452578596107
40C,NA,NA,NA,NA,NA,NA,NA
32C,2.48047033581509,1.44918780040323,-1.4999,1e-04,NaN,NaN,347.490484831858
34C,1.37935620171674,1.08334591601057,-1.4999,1e-04,NaN,NaN,385.173774526388
36C,NA,NA,NA,NA,NA,NA,NA
38C,3.09276099798566,2.88264189485304,-1.5,0,1,NaN,3.84721873316859
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.515027136206985,1.68030168523298,1.5,9.90168403323763e-05,0.986899391334084,68.1416306673355,109.197396680462
34C,0.953576578061736,1.47600299963158,1.5,0,1,Inf,87.6559586289012
36C,0,1.72839946920508,1.5,0,NaN,NaN,29.7189867676276
38C,1.68295175279183,2.95599469147043,1.5,0,1,Inf,6.79657881180704
40C,0.511296821065017,1.46916532593775,1.50000400168345,1e-04,0.985868953431848,72.2515918861784,630
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,21.9593079714166,1.31655579016439,-1.5,0.5,NaN,NaN,56.268291787416
34C,3.32139244826878,1.08334497723395,-1.4999,0.5001,NaN,NaN,385.173774537833
36C,3.95785032423959,0.817578452565854,-1.4999,0.5001,NaN,NaN,220.937435250871
38C,3.07922054804898,1.88330111236134,-1.5,0.5,NaN,NaN,5.43790280835515
40C,1.49694218470473,11.7736634648773,-1.4999,0.5001,NaN,NaN,7.02259657807359
32C,0.915759264502302,1.81483293264955,1.5,-0.5,NaN,NaN,109.02403809987
34C,1.01892680700012,1.58126887926951,1.5,-0.5,NaN,NaN,86.5323853888482
36C,0,1.93080876757168,1.5,-0.5,NaN,0,29.3203150867528
38C,1.6656261574225,3.96235975900453,1.5,-0.5,NaN,NaN,5.93123169697544
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.51372197900126,1.59605488240795,1.5,0.5,0.0435932166212952,0.982654370975075,109.238423552412
34C,0.867654690356998,1.36920814414117,1.5,0.5,0.205447798266944,1.37879388913433,88.7501846298025
36C,0,1.52585307381314,1.5,0.5,-Inf,0,30.2238318895141
38C,1.69259201090193,1.94361835138775,1.5,0.5,0.522526808011856,1.61633462035795,9.02749602369762
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,3.05191772615192,0.864441509521468,-1.5,1,NaN,NaN,8.37782184489686
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,1.07607294556035,1.68608907174612,1.5,-1,NaN,NaN,85.3885778949988
36C,0,2.13339021741294,1.5,-1,NaN,0,29.0622361715609
38C,NA,NA,NA,NA,NA,NA,NA
40C,1.41137339862776,5.76562437367673,1.5001,-0.9999,NaN,NaN,315.647491848642
32C,0.508535035620012,1.5112824301493,1.5,1.00009458429913,-0.397117430774971,0.710415968228043,109.267153500445
34C,0.756959142263612,1.26149940630027,1.5,1,-0.253331298175381,0.948720584438975,89.8055426475821
36C,0,1.32294425208581,1.5,1,-Inf,0,30.7809461116297
38C,1.67232601736867,0.874934095720006,1.5,1,-0.0125057209599493,1.69323965989595,12.5372367269334
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,8.99469202181821,0.813743206724037,-1.4999,1.50007256177858,NaN,NaN,10.4000501283811
38C,3.1728676358524,0,-1.5,1.5,NaN,NaN,13.0816244671805
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.50017403466698,0.51260060076364,1.5001,-1.4999,NaN,NaN,343.921144597622
34C,1.11550761043144,1.78920712960321,1.5,-1.5,NaN,NaN,84.2326490887621
36C,0,2.3363885583239,1.5,-1.5,NaN,0,28.951832813437
38C,1.62638592079169,6.04059226396738,1.5,-1.4999,NaN,NaN,6.53827219330791
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.506795883837743,1.42687246363497,1.5,1.5001,-0.763992024262228,0.595949534710156,109.28044147013
34C,0.497788239460223,1.14161449512829,1.5,1.5,-0.98979898910568,0.660332357111099,90.8282702674883
36C,NA,NA,NA,NA,NA,NA,NA
38C,1.737335529257,0,1.5,1.5,-Inf,Inf,17.0393325028872
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,2.30087211262177,1.44919937248121,-1.4999,2.0001,NaN,NaN,347.490484828835
34C,1.5515907114286,1.08334302502079,-1.4999,2.0001,NaN,NaN,385.173774555287
36C,NA,NA,NA,NA,NA,NA,NA
38C,4.11303748237903,0,-1.5,2,NaN,NaN,31.7616935321245
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,1.14447145959692,1.89139757585865,1.5,-2,NaN,NaN,83.0718543180469
36C,0,2.53994122972465,1.5,-1.9999,NaN,0,28.9743816094347
38C,1.60668419660974,7.11933179210167,1.5,-1.9999,NaN,NaN,7.32030350675515
40C,1.31417510792327,57.1258421705007,1.5,-1.9999,NaN,NaN,9.29572926689823
32C,0.571821864447925,1.34931022556649,1.50003241802375,2.00008513388949,-0.971915401215188,0.563768172739567,109.269426856412
34C,0.502108393670855,1.04726696402653,1.5,2,-1.38854366285889,0.599653910885388,91.7656102602325
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.21617584236919,0,1.5,2,-Inf,Inf,35.7855857690741
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.77268562353939,1.44919670181361,-1.4999,2.5001,NaN,NaN,347.490484854491
34C,1.54074851141685,1.08334302369991,-1.4999,2.5001,NaN,NaN,385.173774549642
36C,9.0330636901152,0.523362207741926,-1.4999,2.5,NaN,NaN,10.7273827977586
38C,5.12963306243107,0,-1.5,2.5,NaN,NaN,54.5793212214515
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,1.16004878167534,1.99199933470838,1.5,-2.5,NaN,NaN,81.9124260315058
36C,0,2.74426415307089,1.5,-2.4999,NaN,0,29.1043306947029
38C,0.506528845567271,0.804943136104615,1.5001,-2.4999,NaN,NaN,371.384548789604
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.655414693586807,1.27311116257048,1.5,2.50000058892699,-1.11994422652057,0.555776907333632,109.269065186014
34C,0.498620358108409,0.952533128971295,1.5,2.50004983396384,-1.8099262052768,0.560423393045688,92.6733991343096
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.62531177478945,0,1.5,2.5,-Inf,Inf,58.3372799625234
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,5.40688226594437,1.44919681736834,-1.4999,3.0001,NaN,NaN,347.490484871782
34C,1.57355687035285,1.0833431649163,-1.49990746683943,3.00009359751022,NaN,NaN,385.173774543143
36C,9.05748663645708,0.380610496365467,-1.4999,3,NaN,NaN,11.1635066916835
38C,6.19164460626218,0,-1.5,3,NaN,NaN,75.2221281877533
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,1.17161439972467,2.09193424463131,1.5,-3,NaN,NaN,80.7597369816127
36C,0,2.94938668171367,1.5,-2.9999,NaN,0,29.3143226262155
38C,1.57044302634495,9.33803863476288,1.5,-2.9999,NaN,NaN,9.02218087606335
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.590268137168677,1.18713954725874,1.5,3.0001,-1.53418279617919,0.498599166142996,109.270631469103
34C,0.491189727595265,0.858769167072129,1.5,3.00000093123073,-2.26620519174243,0.534775313467665,93.5551765422499
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.92607679028202,0,1.5001,3,-Inf,Inf,78.4122418063478
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.54159465566376,0.503723097481072,-1.4999,3.5001,NaN,NaN,481.906977012034
34C,18.7956057004529,0.589926589819939,-1.4999,3.5,NaN,NaN,44.2352547102344
36C,NA,NA,NA,NA,NA,NA,NA
38C,7.27373949903334,0,-1.5,3.5,NaN,NaN,92.7658192398401
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.500099151472857,0.512962222412911,1.5001,-3.4999,NaN,NaN,387.084428784526
34C,1.17939797477651,2.19123507447038,1.5,-3.5,NaN,NaN,79.6182159178359
36C,0,3.15532661918382,1.5,-3.4999,NaN,0,29.5801189248575
38C,NA,NA,NA,NA,NA,NA,NA
40C,1.30789300292121,84.7854181148279,1.5,-3.4999,NaN,NaN,9.83311981895587
32C,0.630816415342872,1.10498716465087,1.5,3.50009732324537,-1.74445162424787,0.494627713404469,109.304688618346
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,3.17337126234259,0,1.5001,3.5,-Inf,Inf,95.1078764091383
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.50737425067755,0.502907639356491,-1.4999,4.0001,NaN,NaN,482.096867750229
34C,18.7781195896587,0.51473370067706,-1.4999,4,NaN,NaN,46.4563686594508
36C,9.11671097783342,0.101377106450047,-1.4999,4,NaN,NaN,12.6510407896877
38C,8.35401049647541,0,-1.5,4,NaN,NaN,107.485238225813
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.500080769423145,0.512407647612755,1.5001,-3.9999,NaN,NaN,396.658571198842
34C,1.17760976625338,2.28892948153302,1.5,-4,NaN,NaN,78.4915342506428
36C,0,3.36206930894661,1.5,-3.9999,NaN,0,29.8822874646215
38C,0.500932408896858,0.621581913349131,1.5001,-3.9999,NaN,NaN,377.215439605726
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.50315942985939,0.502461379341404,-1.4999,4.5001,NaN,NaN,482.20063488461
34C,18.7619805124846,0.439730578963108,-1.4999,4.5,NaN,NaN,48.8007738465656
36C,9.39639216752916,0,-1.4999,4.5,NaN,NaN,13.8490931485957
38C,9.40774053059792,0,-1.5,4.5,NaN,NaN,119.852690739801
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,1.17299608627752,2.38607585072069,1.5,-4.5,NaN,NaN,77.3827399300104
36C,0,3.56957767916624,1.5,-4.4999,NaN,0,30.2061345697013
38C,1.52747676993129,12.7631133780006,1.5,-4.4999,NaN,NaN,11.2153486756903
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.51914400861874,0.502058602893307,-1.4999,5.0001,NaN,NaN,482.294088727337
34C,18.746696118055,0.364929676354406,-1.4999,5,NaN,NaN,51.2682102125145
36C,10.4041751880721,0,-1.4999,5,NaN,NaN,17.6585109827335
38C,2.36546135337671,0,-1.4999,5,NaN,NaN,176.835291964778
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,1.16688757041159,2.48279251876772,1.5,-5,NaN,NaN,76.2942763472997
36C,0,3.77776910868142,1.5,-4.9999,NaN,0,30.5409551196045
38C,1.51613422471099,13.9209367802468,1.5,-4.9999,NaN,NaN,11.8080996492528
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,0.498598934910327,0.496904544748504,1.50004377541305,5.00003362819127,-4.50207202881446,0.548661760572833,96.9108684820884
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.77799749189416,1.10256043252466,-1.9999,1e-04,NaN,NaN,358.029185284745
34C,1.54480143929965,1.22511075200628,-1.99990539449609,1e-04,NaN,NaN,387.164321898705
36C,NA,NA,NA,NA,NA,NA,NA
38C,3.32491092588003,2.88744840442969,-2,0,1,NaN,3.75757153270554
40C,NA,NA,NA,NA,NA,NA,NA
32C,0,2.11334412160755,2,0,NaN,NaN,117.279145628268
34C,0,1.81945380127906,2,0,NaN,NaN,102.818533864626
36C,0,2.32337401589959,2,0,NaN,NaN,46.4003750083972
38C,0.520777508448781,0.510814844064137,2.0001,1e-04,0.972579965897516,142.797370414722,265.609063440918
40C,0.511611668348601,1.45866445616236,2.00000118527621,1e-04,0.983629301662405,83.7544028852856,630
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.60325341414363,0.597339985598179,-1.9999,0.5001,NaN,NaN,456.8698059679
34C,NA,NA,NA,NA,NA,NA,NA
36C,10.5782509837814,1.12484578966101,-1.9999,0.5001,NaN,NaN,12.4108971100502
38C,3.31002164718493,1.8849802116496,-2,0.5,NaN,NaN,5.24507052285404
40C,NA,NA,NA,NA,NA,NA,NA
32C,0,2.2141753478063,2,-0.5,NaN,0,117.257937299324
34C,0,1.93516801865437,2,-0.5,NaN,0,101.881015957521
36C,0,2.58552750957116,2,-0.5,NaN,0,45.9435146815502
38C,1.42622870490067,4.0088739276255,2,-0.5,NaN,NaN,6.83109035014356
40C,NA,NA,NA,NA,NA,NA,NA
32C,0,2.01233006474177,2,0.5,-Inf,0,117.283181533862
34C,0,1.70304741336538,2,0.5,-Inf,0,103.707236260419
36C,0,2.05940325819305,2,0.5,-Inf,0,46.8996517996308
38C,1.46437434086392,1.96889009044521,2,0.5,0.411070636777033,1.72482609617008,10.0668654621051
40C,1.30003111834112,11.7630574467552,2.00008031959163,0.5,0.744275853704217,0.66489869579147,6.98056530946514
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,24.6781775654507,1.25729430767409,-2,1,NaN,NaN,54.7689024254976
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,3.28272421334904,0.866066234537219,-2,1,NaN,NaN,7.99746847823958
40C,1.52536302476917,3.04354438635047,-2,1,NaN,NaN,7.50627153797928
32C,NA,NA,NA,NA,NA,NA,NA
34C,0,2.05011690047534,2,-1,NaN,0,100.898725872597
36C,0,2.84659099708923,2,-1,NaN,0,45.5689751194554
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,0,1.96533147247332,2,1,-Inf,0,117.49349148302
34C,0,1.58588683511997,2,1,-Inf,0,104.544007431088
36C,0,1.792990249561,2,1,-Inf,0,47.3890169277493
38C,1.44469277392748,0.879636515784416,2,1,-0.254514319092031,1.81238777158081,13.4161814946001
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.51529550920272,0.51693936294836,-1.9999,1.5001,NaN,NaN,478.754847700405
34C,1.51271358757968,0.56279135177214,-1.9999,1.5001,NaN,NaN,623.907512575936
36C,10.6123922286524,0.827341968316346,-1.9999,1.5,NaN,NaN,12.2712455926044
38C,3.41110667177674,0,-2,1.5,NaN,NaN,12.4934588409599
40C,NA,NA,NA,NA,NA,NA,NA
32C,0,2.41371193405657,2,-1.49990573135916,NaN,0,117.16295573882
34C,0,2.16437291791909,2,-1.5,NaN,0,99.8764475021825
36C,0,3.1072065071996,2,-1.5,NaN,0,45.2969160844346
38C,1.38201675623673,6.09454228505611,2,-1.4999,NaN,NaN,7.21215985673378
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,0,1.46749200916543,2,1.5,-Inf,0,105.32665266926
36C,0,1.52956977374881,2,1.5001,-Inf,0,47.8265157826896
38C,1.49692374290364,0,2,1.5,-Inf,Inf,17.5615207579186
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,3.36616527543533,1.4491956614929,-1.9999,2.0001,NaN,NaN,347.490484829403
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,4.41866064948605,0,-2,2,NaN,NaN,30.9850438743198
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.50025095133682,0.513028412349288,2.0001,-1.9999,NaN,NaN,354.231835649493
34C,0,2.27800051482642,2,-2,NaN,0,98.8195118105901
36C,0,3.36792621515763,2,-2,NaN,0,45.1294602265441
38C,1.36253243448751,7.17382737697736,2,-1.9999,NaN,NaN,7.8898193629695
40C,1.2862345194815,57.1383644806978,2,-1.9999,NaN,NaN,9.30458823660462
32C,0,1.70790310806522,2,2.00000323532964,-Inf,0,117.206926357407
34C,0,1.35013592276702,2,2,-Inf,0,106.05643441957
36C,NA,NA,NA,NA,NA,NA,NA
