temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
32C,1.34267418754418,1.44919653824176,1e-04,-4.5,NaN,NaN,347.490484862408
34C,1.49127659047751,1.350430185829,1e-04,-4.4999,NaN,NaN,382.468659294176
36C,1.14648144624096,1.20483405616052,1e-04,-4.4999,NaN,NaN,224.447749863715
38C,2.38965025513445,2.9056701214603,1e-04,-4.5,NaN,NaN,232.453576498535
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.86224242228844,1.44919900861259,1e-04,4.5,0.987087089679571,0.0053437709764244,347.490484863125
34C,9.50987279589872,0.420768275310785,0,4.5,1,0,57.0132503957326
36C,3.99834203061622,0,0,4.5,NaN,NaN,17.8800167233524
38C,6.32783044964504,0,1e-04,4.5,-Inf,Inf,121.327814165859
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.26362648506943,1.44919205808244,1e-04,-4.9999,NaN,NaN,347.490484823764
34C,1.13748816539684,1.08334440840954,1e-04,-4.9999,NaN,NaN,385.173774532934
36C,1.13961253983928,1.20483761412398,1e-04,-4.9999,NaN,NaN,224.447749869533
38C,2.38965043572709,2.91568808359829,1e-04,-5,NaN,NaN,232.453576498429
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.79272240482762,1.44919860617116,1e-04,5,0.986127187222044,0.00497402045700417,347.490484931536
34C,NA,NA,NA,NA,NA,NA,NA
36C,4.40348102116422,0,0,5,NaN,NaN,23.2297903305058
38C,6.84156138728416,0,1e-04,5,-Inf,Inf,131.093290450626
40C,0.555935660259412,0.500178344144709,1e-04,5.00009997009172,0.957595237491349,0.00471476966148701,513.883957482717
32C,3.29801086739198,1.44919648000667,-0.4999,1e-04,NaN,NaN,347.490484877546
34C,1.67972094998913,1.08333624533276,-0.4999,1e-04,NaN,NaN,385.17377449017
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.62497143861083,2.88259035769499,-0.5,0,1,NaN,4.29603456327952
40C,0.557974907416063,1.68253708639524,-0.499986262505383,1e-04,NaN,NaN,629.999999999964
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,2.27795521152715,1.26324616876237,0.5,1e-04,0.995831609313665,94.9540728761748,11.307836590348
38C,2.15384331199961,2.90369062240982,0.5,0,1,Inf,5.23897404775678
40C,0.517525066812642,1.49843468919359,0.50001274275469,1e-04,0.991970177747211,41.5563429786845,630
32C,1.54075935766965,1.44919090156353,-0.4999,-0.5,0.665422783196969,1.03100595530467,347.49048483755
34C,1.12316634437666,1.08333652315111,-0.4999,-0.5,0.546765628772496,1.0181151837549,385.173774502691
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,16.1031150702919,1.32466902077598,-0.5,0.5,NaN,NaN,67.752651073971
34C,1.62893051617787,1.0833477327375,-0.4999,0.5001,NaN,NaN,385.173774681317
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.61603365585372,1.88707542471526,-0.5,0.5,NaN,NaN,6.11316609309825
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.7365718588542,1.24828389776918,0.5,-0.5,NaN,NaN,49.1802645457097
36C,2.27194394388828,1.42650953867112,0.5,-0.4999,NaN,NaN,12.4233403432073
38C,2.14675964130872,3.90091010254246,0.5,-0.5,NaN,NaN,4.53940761799219
