temp,ec_k,ec_r,pp_k,pp_r,ecco_k,ecco_n0,ppco_k,ppco_n0
32C,4.37291698077433,0.528147397951081,5.60665215216967,0.415003408874788,0.589031239554868,0.0297629734234274,4.09020104600836,0.0328326398286526
34C,4.60946236914427,0.428501295003749,5.2821708589738,0.430024506143088,0.562904862885309,0.0367451365206968,5.34590991159558,0.0849883631115823
36C,3.23499381032534,0.811339472866241,4.02337426704476,1.06068165520433,0.828181211506162,0.0115881640059731,3.7864250185466,0.00698420749114506
38C,4.55033001285225,0.612286666734165,3.27871523411108,0.521360742710748,1.93432116904068,0.0761903721742062,1.05526948300006,0.00162560130604639
40C,4.11289886649134,0.812286918485556,3.62609192062957,0.464662945637307,2.78638472807991,0.0144646076685507,0.172092869452175,0.0115516571334209
