temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
32C,1.25740421907404,0.258654249369546,0.2,0.2,0.649302451370182,2.20484288633028,100.344614055963
34C,0.959602891665376,0.2127315995811,0.2,0.2,0.557342100547997,2.12387900166331,69.8399668258942
36C,0.569383734949226,0.260835301893794,0.2,0.2,0.481027575132565,1.47747228803338,13.0506543433513
38C,0.43093140379015,0.488001399767356,0.2,0.2,0.563870574110404,0.939709328663979,8.92132665908555
40C,0.332363752426147,2.1596758701795,0.2,0.2,0.763936478812661,0.392294788563766,7.12251685288369
