temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
32C,2.12512373231398,0.25923543372009,0.1,0.1,0.865271117414439,2.86315545810718,89.6891563775132
34C,1.51051785721457,0.203693655984177,0.1,0.1,0.819719681566443,2.72316640298216,50.6207465418274
36C,0.883168891680159,0.274090302782847,0.1,0.1001,0.796648059151666,1.79414693526506,8.32711882694882
38C,0.478083687468336,0.68622117763643,0.1,0.1,0.825411361250759,0.834679802033142,6.34644227268331
40C,0.337728452613476,3.90805322108598,0.1001,0.1001,0.912869537835139,0.293970391233122,7.0192414408608
