,0:19:33,32,,,,,,,,,,,,0.082,0.084,0.083,0.083,0.084,0.085,0.084,0.092,0.084,0.085,0.083,,,,,,,,,,,
,0:29:33,32,,,,,,,,,,,,0.082,0.084,0.083,0.083,0.084,0.085,0.083,0.092,0.083,0.084,0.083,,,,,,,,,,,
,0:39:33,32,,,,,,,,,,,,0.082,0.084,0.083,0.083,0.084,0.085,0.083,0.091,0.083,0.084,0.083,,,,,,,,,,,
,0:49:33,32,,,,,,,,,,,,0.082,0.085,0.084,0.083,0.084,0.085,0.083,0.091,0.083,0.084,0.083,,,,,,,,,,,
,0:59:33,32,,,,,,,,,,,,0.082,0.085,0.084,0.083,0.084,0.085,0.083,0.091,0.083,0.084,0.083,,,,,,,,,,,
,1:09:33,32,,,,,,,,,,,,0.082,0.085,0.084,0.083,0.084,0.085,0.083,0.091,0.083,0.084,0.083,,,,,,,,,,,
,1:19:33,32,,,,,,,,,,,,0.082,0.086,0.085,0.084,0.085,0.085,0.083,0.09,0.083,0.084,0.084,,,,,,,,,,,
,1:29:33,32,,,,,,,,,,,,0.082,0.086,0.085,0.084,0.085,0.086,0.084,0.09,0.084,0.084,0.084,,,,,,,,,,,
,1:39:33,32,,,,,,,,,,,,0.082,0.087,0.086,0.084,0.085,0.086,0.084,0.09,0.083,0.084,0.083,,,,,,,,,,,
,1:49:33,32.1,,,,,,,,,,,,0.082,0.087,0.086,0.085,0.085,0.086,0.084,0.09,0.086,0.084,0.084,,,,,,,,,,,
,1:59:33,32.1,,,,,,,,,,,,0.082,0.088,0.086,0.085,0.086,0.088,0.084,0.091,0.085,0.084,0.084,,,,,,,,,,,
,2:09:33,32.1,,,,,,,,,,,,0.082,0.088,0.087,0.085,0.086,0.088,0.084,0.091,0.088,0.084,0.083,,,,,,,,,,,
,2:19:33,32,,,,,,,,,,,,0.082,0.088,0.087,0.085,0.086,0.088,0.084,0.094,0.087,0.085,0.083,,,,,,,,,,,
,2:29:33,32,,,,,,,,,,,,0.082,0.089,0.087,0.086,0.086,0.088,0.084,0.091,0.088,0.087,0.083,,,,,,,,,,,
,2:39:33,32.1,,,,,,,,,,,,0.082,0.089,0.087,0.086,0.087,0.089,0.084,0.091,0.086,0.086,0.083,,,,,,,,,,,
,2:49:33,32.1,,,,,,,,,,,,0.082,0.089,0.088,0.086,0.087,0.088,0.085,0.094,0.085,0.086,0.083,,,,,,,,,,,
,2:59:33,32,,,,,,,,,,,,0.082,0.09,0.088,0.086,0.088,0.091,0.085,0.094,0.087,0.088,0.084,,,,,,,,,,,
,3:09:33,32,,,,,,,,,,,,0.082,0.091,0.089,0.087,0.089,0.092,0.086,0.095,0.087,0.088,0.083,,,,,,,,,,,
,3:19:33,32,,,,,,,,,,,,0.082,0.092,0.089,0.087,0.09,0.091,0.088,0.095,0.088,0.088,0.083,,,,,,,,,,,
,3:29:33,32,,,,,,,,,,,,0.082,0.095,0.09,0.087,0.091,0.091,0.089,0.095,0.088,0.089,0.084,,,,,,,,,,,
,3:39:33,32,,,,,,,,,,,,0.082,0.099,0.09,0.088,0.091,0.092,0.089,0.096,0.089,0.09,0.083,,,,,,,,,,,
,3:49:33,32.1,,,,,,,,,,,,0.082,0.101,0.091,0.089,0.093,0.094,0.089,0.097,0.088,0.09,0.083,,,,,,,,,,,
,3:59:33,32.1,,,,,,,,,,,,0.082,0.103,0.093,0.089,0.094,0.095,0.09,0.096,0.089,0.09,0.084,,,,,,,,,,,
,4:09:33,32,,,,,,,,,,,,0.082,0.102,0.095,0.09,0.094,0.095,0.09,0.098,0.089,0.091,0.084,,,,,,,,,,,
,4:19:33,32,,,,,,,,,,,,0.082,0.102,0.098,0.092,0.095,0.096,0.091,0.098,0.089,0.091,0.084,,,,,,,,,,,
,4:29:33,32,,,,,,,,,,,,0.082,0.102,0.101,0.093,0.096,0.097,0.092,0.099,0.09,0.092,0.083,,,,,,,,,,,
,4:39:33,32.1,,,,,,,,,,,,0.082,0.103,0.102,0.096,0.097,0.098,0.093,0.099,0.091,0.093,0.083,,,,,,,,,,,
,4:49:33,32.1,,,,,,,,,,,,0.082,0.104,0.104,0.1,0.1,0.099,0.093,0.101,0.092,0.093,0.084,,,,,,,,,,,
,4:59:33,32,,,,,,,,,,,,0.082,0.105,0.105,0.103,0.101,0.101,0.094,0.101,0.092,0.094,0.084,,,,,,,,,,,
,5:09:33,32,,,,,,,,,,,,0.082,0.106,0.107,0.104,0.103,0.102,0.096,0.101,0.093,0.095,0.084,,,,,,,,,,,
,5:19:33,32.1,,,,,,,,,,,,0.082,0.106,0.107,0.106,0.105,0.104,0.098,0.102,0.094,0.096,0.084,,,,,,,,,,,
,5:29:33,32.1,,,,,,,,,,,,0.082,0.107,0.108,0.106,0.107,0.106,0.098,0.103,0.094,0.097,0.084,,,,,,,,,,,
,5:39:33,32.1,,,,,,,,,,,,0.082,0.109,0.109,0.107,0.11,0.108,0.099,0.105,0.096,0.099,0.084,,,,,,,,,,,
,5:49:33,32,,,,,,,,,,,,0.082,0.11,0.11,0.108,0.112,0.111,0.102,0.107,0.096,0.102,0.084,,,,,,,,,,,
,5:59:33,32,,,,,,,,,,,,0.082,0.112,0.111,0.109,0.116,0.114,0.103,0.113,0.098,0.108,0.084,,,,,,,,,,,
,6:09:33,32.1,,,,,,,,,,,,0.082,0.114,0.113,0.11,0.119,0.116,0.106,0.114,0.1,0.112,0.084,,,,,,,,,,,
,6:19:33,32.1,,,,,,,,,,,,0.082,0.116,0.114,0.112,0.123,0.119,0.108,0.117,0.102,0.115,0.084,,,,,,,,,,,
,6:29:33,32.1,,,,,,,,,,,,0.082,0.118,0.116,0.113,0.128,0.125,0.112,0.126,0.107,0.127,0.084,,,,,,,,,,,
,6:39:33,32.1,,,,,,,,,,,,0.082,0.121,0.118,0.115,0.132,0.13,0.118,0.135,0.112,0.137,0.084,,,,,,,,,,,
,6:49:33,32,,,,,,,,,,,,0.082,0.124,0.121,0.116,0.14,0.138,0.125,0.139,0.122,0.143,0.084,,,,,,,,,,,
,6:59:33,32.1,,,,,,,,,,,,0.082,0.127,0.124,0.119,0.158,0.148,0.136,0.155,0.143,0.161,0.084,,,,,,,,,,,
,7:09:33,32.1,,,,,,,,,,,,0.082,0.127,0.124,0.122,0.157,0.16,0.151,0.17,0.161,0.186,0.084,,,,,,,,,,,
,7:19:33,32.1,,,,,,,,,,,,0.082,0.136,0.129,0.122,0.172,0.164,0.179,0.175,0.167,0.202,0.084,,,,,,,,,,,
,7:29:33,32,,,,,,,,,,,,0.082,0.141,0.135,0.129,0.24,0.176,0.19,0.199,0.19,0.225,0.084,,,,,,,,,,,
,7:39:33,32,,,,,,,,,,,,0.082,0.146,0.14,0.135,0.257,0.185,0.215,0.212,0.167,0.222,0.084,,,,,,,,,,,
,7:49:33,32.1,,,,,,,,,,,,0.082,0.153,0.146,0.142,0.229,0.194,0.246,0.228,0.17,0.243,0.084,,,,,,,,,,,
,7:59:33,32.1,,,,,,,,,,,,0.082,0.159,0.152,0.148,0.258,0.246,0.267,0.247,0.184,0.246,0.084,,,,,,,,,,,
,8:09:33,32.1,,,,,,,,,,,,0.082,0.166,0.159,0.155,0.288,0.259,0.288,0.252,0.2,0.261,0.084,,,,,,,,,,,
,8:19:33,32.1,,,,,,,,,,,,0.082,0.175,0.167,0.163,0.287,0.254,0.296,0.258,0.218,0.265,0.084,,,,,,,,,,,
,8:29:33,32,,,,,,,,,,,,0.082,0.183,0.174,0.171,0.304,0.263,0.329,0.284,0.236,0.276,0.083,,,,,,,,,,,
,8:39:33,32,,,,,,,,,,,,0.082,0.192,0.182,0.179,0.311,0.296,0.345,0.306,0.229,0.288,0.084,,,,,,,,,,,
,8:49:33,32.1,,,,,,,,,,,,0.082,0.202,0.19,0.187,0.327,0.327,0.347,0.315,0.241,0.308,0.084,,,,,,,,,,,
,8:59:33,32.1,,,,,,,,,,,,0.082,0.212,0.201,0.196,0.335,0.332,0.364,0.308,0.26,0.303,0.084,,,,,,,,,,,
,9:09:33,32,,,,,,,,,,,,0.082,0.224,0.21,0.205,0.337,0.353,0.373,0.318,0.304,0.298,0.084,,,,,,,,,,,
,9:19:33,32,,,,,,,,,,,,0.082,0.233,0.221,0.215,0.35,0.375,0.381,0.319,0.305,0.303,0.084,,,,,,,,,,,
,9:29:33,32.1,,,,,,,,,,,,0.082,0.244,0.23,0.224,0.352,0.422,0.382,0.332,0.299,0.304,0.084,,,,,,,,,,,
,9:39:33,32.1,,,,,,,,,,,,0.082,0.257,0.241,0.234,0.36,0.431,0.388,0.337,0.303,0.293,0.084,,,,,,,,,,,
,9:49:33,32,,,,,,,,,,,,0.082,0.27,0.253,0.243,0.368,0.442,0.403,0.33,0.32,0.285,0.083,,,,,,,,,,,
,9:59:33,32,,,,,,,,,,,,0.082,0.284,0.266,0.255,0.364,0.461,0.402,0.367,0.321,0.295,0.084,,,,,,,,,,,
,10:09:33,32,,,,,,,,,,,,0.082,0.293,0.28,0.266,0.375,0.481,0.409,0.381,0.323,0.302,0.084,,,,,,,,,,,
,10:19:33,32.1,,,,,,,,,,,,0.082,0.307,0.291,0.274,0.387,0.49,0.415,0.379,0.332,0.312,0.084,,,,,,,,,,,
,10:29:33,32.1,,,,,,,,,,,,0.082,0.327,0.301,0.282,0.397,0.506,0.423,0.388,0.349,0.334,0.084,,,,,,,,,,,
,10:39:33,32.1,,,,,,,,,,,,0.082,0.34,0.313,0.292,0.405,0.502,0.426,0.389,0.366,0.37,0.084,,,,,,,,,,,
,10:49:33,32,,,,,,,,,,,,0.082,0.352,0.317,0.3,0.399,0.502,0.429,0.364,0.377,0.417,0.084,,,,,,,,,,,
,10:59:33,32,,,,,,,,,,,,0.082,0.361,0.332,0.302,0.403,0.48,0.433,0.33,0.407,0.435,0.084,,,,,,,,,,,
,11:09:33,32,,,,,,,,,,,,0.083,0.366,0.347,0.309,0.416,0.466,0.438,0.433,0.394,0.449,0.084,,,,,,,,,,,
,11:19:33,32.1,,,,,,,,,,,,0.082,0.379,0.356,0.314,0.438,0.449,0.449,0.45,0.39,0.451,0.084,,,,,,,,,,,
,11:29:33,32.1,,,,,,,,,,,,0.082,0.397,0.371,0.321,0.434,0.426,0.456,0.407,0.396,0.474,0.084,,,,,,,,,,,
,11:39:33,32,,,,,,,,,,,,0.082,0.409,0.376,0.333,0.439,0.431,0.461,0.495,0.404,0.488,0.084,,,,,,,,,,,
,11:49:33,32,,,,,,,,,,,,0.082,0.417,0.391,0.34,0.439,0.433,0.468,0.47,0.43,0.475,0.084,,,,,,,,,,,
