temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
32C,1.27145690975557,0.275557626430277,0.2,0.1,0.761077001210473,3.03780297710465,99.8915237859726
34C,0.957950502907987,0.230062150473094,0.2,0.1,0.698754286832834,2.88578482427362,68.2056018635074
36C,0.564604822911636,0.291672060872994,0.2,0.1001,0.651331808083735,1.96663079672131,13.1615458200195
38C,0.431605220143153,0.691231376596836,0.2,0.1,0.741083378349323,1.11749765486262,7.02526391697292
40C,0.332092110256821,3.90754463285639,0.2001,0.1001,0.875760604262244,0.412177054021814,7.01083427660971
