temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
32C,2.46287830733357,1.44919629841132,-3.9999,5.0001,NaN,NaN,347.490484846209
34C,1.50409375561452,0.515445125542531,-3.9999,5.0001,NaN,NaN,671.191608613848
36C,19.4915481810866,0,-3.9999,5,NaN,NaN,22.1137645840587
38C,2.43681634913755,0,-3.9999,5,NaN,NaN,179.248059214472
40C,1.44336366887339,0,-3.9999,5,NaN,NaN,273.442966716816
