temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
32C,0,1.4376570368376,4.5,4.5001,-Inf,0,202.548193274339
34C,0,0.917579929410742,4.5,4.5001,-Inf,0,196.189017377204
36C,NA,NA,NA,NA,NA,NA,NA
38C,0.916551270986472,0,4.5001,4.5,-Inf,Inf,120.520118514062
40C,NA,NA,NA,NA,NA,NA,NA
