temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
32C,0,1.9789714460182,4,-2.9999,NaN,0,208.033613783867
34C,0,1.42227181065081,4,-2.9999,NaN,0,209.972871481979
36C,1.11091427888009,1.35076504613071,4,-2.9999,NaN,NaN,175.134708157668
38C,0.506815547260195,0.627096898120271,4.0001,-2.9999,NaN,NaN,377.055914170359
40C,NA,NA,NA,NA,NA,NA,NA
