temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
32C,0.497794601740065,0.28649257614335,0.3,0.1,0.541352691011456,2.28312154517105,107.116894442927
34C,0.366094008767106,0.255518987213355,0.3,0.1,0.433691959455533,2.07321980759969,85.2825598658296
36C,0.259434371581236,0.312152335981752,0.3,0.1,0.391355676662851,1.5790325754146,19.4825627720822
38C,0.385305631950183,0.69784508547604,0.3,0.1,0.66597541226508,1.28701554864103,7.82866073730264
40C,0.326456411804869,3.90717084668867,0.3001,0.1001,0.846536098817956,0.50049225296171,7.00413165378366
