temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
32C,0.620366504208195,0.491160200368782,0.1001,0.3,0.686063427923802,0.649185779206716,260.12069770274
34C,1.50948591302807,0.17279018141212,0.1,0.3,0.660854104926738,1.70645317024795,54.2761193368797
36C,0.884530737488426,0.214212780467486,0.1,0.3001,0.602026784639327,1.17300746978879,7.42813928574661
38C,0.472895309110218,0.275166705742209,0.1,0.3,0.519846408091784,0.756874604219391,10.6294452715791
40C,0.338113903431608,0.416474082695977,0.1,0.3,0.538432605382612,0.520207844969475,7.97940436012858
