temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
32C,0.490285636170433,0.26906573099409,0.3,0.2,0.325593346783107,1.65325947505009,107.291853636868
34C,0.351990773226986,0.235089078370713,0.3,0.2,0.148482145171279,1.49863214068873,86.5603143399934
36C,0.262643453724946,0.279524144365292,0.3,0.2,0.0959703563389946,1.18718733940429,19.8709027590997
38C,0.385191748193421,0.492525589943092,0.3,0.2,0.437629232207669,1.08310289589402,9.75662812447127
40C,0.326778677322722,2.16013879924532,0.3,0.2,0.708453426811631,0.476356017822337,7.13838051406419
